@relation instruments

@attribute Id numeric
@attribute Name string
@attribute StyleId numeric
@attribute StyleName string
@attribute PathToSampleTable string
@attribute LowestMIDIPitch numeric
@attribute HighestMIDIPitch numeric

@data
21,ElectricBass,5,Scarbee_PreBass,SampleLists/Komplete/Scarbee_PreBass.arff,35,75
21,ElectricBass,6,Scarbee_Rickenbacker_Bass_Crunsher,SampleLists/Komplete/Scarbee_Rickenbacker_Bass_Crunsher.arff,35,75
21,ElectricBass,7,Scarbee_Rickenbacker_Bass_PalmMuted,SampleLists/Komplete/Scarbee_Rickenbacker_Bass_PalmMuted.arff,35,75
22,ElectricGuitar,1,tr131EGLFM,SampleLists/MUMS-RWC-Iowa/ElectricGuitar-tr131EGLFM.arff,40,76
22,ElectricGuitar,2,tr131EGLPM,SampleLists/MUMS-RWC-Iowa/ElectricGuitar-tr131EGLPM.arff,40,76
22,ElectricGuitar,3,tr131EGVFM,SampleLists/MUMS-RWC-Iowa/ElectricGuitar-tr131EGVFM.arff,41,76
22,ElectricGuitar,4,tr131EGVPM,SampleLists/MUMS-RWC-Iowa/ElectricGuitar-tr131EGVPM.arff,41,76
22,ElectricGuitar,5,tr132EGLPM,SampleLists/MUMS-RWC-Iowa/ElectricGuitar-tr132EGLPM.arff,40,76
22,ElectricGuitar,6,tr132EGVFM,SampleLists/MUMS-RWC-Iowa/ElectricGuitar-tr132EGVFM.arff,41,76
22,ElectricGuitar,7,tr132EGVPM,SampleLists/MUMS-RWC-Iowa/ElectricGuitar-tr132EGVPM.arff,41,76
22,ElectricGuitar,8,tr133EGLFM,SampleLists/MUMS-RWC-Iowa/ElectricGuitar-tr133EGLFM.arff,40,76
22,ElectricGuitar,9,tr133EGLPM,SampleLists/MUMS-RWC-Iowa/ElectricGuitar-tr133EGLPM.arff,40,76
23,ElectricPiano,1,Scarbee_A200_DI,SampleLists/Komplete/Scarbee_A200_DI.arff,24,96
23,ElectricPiano,2,Scarbee_A200_WheresWallee,SampleLists/Komplete/Scarbee_A200_WheresWallee.arff,24,96
23,ElectricPiano,3,Scarbee_Clavinet_Full_DI,SampleLists/Komplete/Scarbee_Clavinet_Full_DI.arff,27,88
23,ElectricPiano,4,Scarbee_MarkI_DI,SampleLists/Komplete/Scarbee_MarkI_DI.arff,24,103
23,ElectricPiano,5,Scarbee_MarkI_PinkPlayboy,SampleLists/Komplete/Scarbee_MarkI_PinkPlayboy.arff,24,103
23,ElectricPiano,6,Scarbee_Pianet_DI,SampleLists/Komplete/Scarbee_Pianet_DI.arff,24,89
24,Erhu,1,"",SampleLists/EthnoWorld/ERHU_KEY.arff,57,84
25,Flute,1,tr331FLNOM,SampleLists/MUMS-RWC-Iowa/Flute-tr331FLNOM.arff,60,90
25,Flute,2,tr331FLVIM,SampleLists/MUMS-RWC-Iowa/Flute-tr331FLVIM.arff,60,90
25,Flute,3,tr332FLNOM,SampleLists/MUMS-RWC-Iowa/Flute-tr332FLNOM.arff,60,90
25,Flute,4,tr332FLVIM,SampleLists/MUMS-RWC-Iowa/Flute-tr332FLVIM.arff,60,90
25,Flute,5,trFltnvib,SampleLists/MUMS-RWC-Iowa/Flute-trFltnvib.arff,69,80
25,Flute,6,trflute.novib.mf,SampleLists/MUMS-RWC-Iowa/Flute-trflute.novib.mf.arff,59,90
25,Flute,7,Flute_Essential,SampleLists/Komplete/Flute_Essential.arff,60,96
25,Flute,8,Flutes_Essential,SampleLists/Komplete/Flutes_Essential.arff,57,100
26,Fujara,1,"",SampleLists/EthnoWorld/FUJARA_KEY.arff,36,96
27,Horn,1,Flugelhorn_SessionHornsPro,SampleLists/Komplete/Flugelhorn_SessionHornsPro.arff,52,83
27,Horn,2,Horn1_Essential,SampleLists/Komplete/Horn1_Essential.arff,48,91
27,Horn,3,Horn2_Essential,SampleLists/Komplete/Horn2_Essential.arff,48,88
27,Horn,4,Horns_Essential,SampleLists/Komplete/Horns_Essential.arff,43,91
28,JinghuOperaViolin,1,"",SampleLists/EthnoWorld/JINGHU_OPERAVIOLIN_KEY.arff,69,93
29,Kantele,1,"",SampleLists/EthnoWorld/KANTELE_LOW_WIDE_RANGE.arff,36,96
30,Melodica,1,"",SampleLists/EthnoWorld/MELODICA_KEY.arff,57,84
31,MorinKhuurViolin,1,"",SampleLists/EthnoWorld/MORIN_KHUUR_VIOLIN_KEY.arff,50,84
32,Oboe,1,Oboe_Essential,SampleLists/Komplete/Oboe_Essential.arff,60,87
32,Oboe,2,Oboes_Essential,SampleLists/Komplete/Oboes_Essential.arff,57,89
33,Oud,1,"",SampleLists/EthnoWorld/OUD.arff,41,77
34,Organ,1,Basic_Jazz_2,SampleLists/Komplete/Basic_Jazz_2.arff,36,96
34,Organ,2,C3_Jazz,SampleLists/Komplete/C3_Jazz.arff,36,96
34,Organ,3,Errol_G,SampleLists/Komplete/Errol_G.arff,36,96
34,Organ,4,Groove_Holmes,SampleLists/Komplete/Groove_Holmes.arff,36,96
34,Organ,5,Little_Girl,SampleLists/Komplete/Little_Girl.arff,36,96
34,Organ,1,The_Worm,SampleLists/Komplete/The_Worm.arff,36,96
35,Panflute,1,"",SampleLists/EthnoWorld/PANFLUTE_KEY.arff,41,75
36,Piano,1,tr011PFNOM,SampleLists/MUMS-RWC-Iowa/Piano-tr011PFNOM.arff,45,80
36,Piano,2,tr011PFPEM,SampleLists/MUMS-RWC-Iowa/Piano-tr011PFPEM.arff,45,80
36,Piano,3,tr012PFPM,SampleLists/MUMS-RWC-Iowa/Piano-tr012PFPM.arff,45,80
36,Piano,4,tr013PFNOM,SampleLists/MUMS-RWC-Iowa/Piano-tr013PFNOM.arff,45,80
36,Piano,5,tr013PFPEM,SampleLists/MUMS-RWC-Iowa/Piano-tr013PFPEM.arff,45,80
36,Piano,6,Alicias_Keys,SampleLists/Komplete/Alicias_Keys.arff,21,108
36,Piano,7,The_Gentleman,SampleLists/Komplete/The_Gentleman.arff,21,108
36,Piano,8,The_Giant_hard,SampleLists/Komplete/The_Giant_hard.arff,21,108
36,Piano,9,The_Giant_soft,SampleLists/Komplete/The_Giant_soft.arff,21,108
36,Piano,10,The_Grandeur,SampleLists/Komplete/The_Grandeur.arff,21,108
36,Piano,11,The_Maverick,SampleLists/Komplete/The_Maverick.arff,21,108
37,Pinkillo,1,"",SampleLists/EthnoWorld/PINKILLO_KEY.arff,72,96
38,PivanaFlute,1,"",SampleLists/EthnoWorld/PIVANA_FLUTE_KEY.arff,72,96
39,Saxophone,1,AltoSax_SessionHornsPro,SampleLists/Komplete/AltoSax_SessionHornsPro.arff,49,81
39,Saxophone,2,BaritoneSax_SessionHornsPro,SampleLists/Komplete/BaritoneSax_SessionHornsPro.arff,36,68
39,Saxophone,3,Saxophone_Essential,SampleLists/Komplete/Saxophone_Essential.arff,53,89
39,Saxophone,4,Saxophones_Essential,SampleLists/Komplete/Saxophones_Essential.arff,48,84
39,Saxophone,5,TenorSax_SessionHornsPro,SampleLists/Komplete/TenorSax_SessionHornsPro.arff,44,76
40,ScaleChangerHarmonium,1,"",SampleLists/EthnoWorld/SCALE_CHANGER_HARMONIUM.arff,43,84
41,Shakuhachi,1,"",SampleLists/EthnoWorld/SHAKUHACHI_KEY.arff,57,88
42,Sitar,1,"",SampleLists/EthnoWorld/SITAR_KEY.arff,48,79
43,Tampura,1,"",SampleLists/EthnoWorld/TAMPURA_P_AND_BROTHERS.arff,41,58
44,Tanbur,1,"",SampleLists/EthnoWorld/TANBUR.arff,30,72
45,Trombone,1,BassTrombone_SessionHornsPro,SampleLists/Komplete/BassTrombone_SessionHornsPro.arff,26,65
45,Trombone,2,TenorTrombone_SessionHornsPro,SampleLists/Komplete/TenorTrombone_SessionHornsPro.arff,40,72
45,Trombone,3,Trombone_Essential,SampleLists/Komplete/Trombone_Essential.arff,36,88
45,Trombone,4,Trombones_Essential,SampleLists/Komplete/Trombones_Essential.arff,33,91
46,Trumpet,1,tr211TRNOM,SampleLists/MUMS-RWC-Iowa/Trumpet-tr211TRNOM.arff,52,86
46,Trumpet,2,tr211TRVIM,SampleLists/MUMS-RWC-Iowa/Trumpet-tr211TRVIM.arff,52,82
46,Trumpet,3,tr212TRNOM,SampleLists/MUMS-RWC-Iowa/Trumpet-tr212TRNOM.arff,53,86
46,Trumpet,4,trBachTpt,SampleLists/MUMS-RWC-Iowa/Trumpet-trBachTpt.arff,69,80
46,Trumpet,5,trBbTpt,SampleLists/MUMS-RWC-Iowa/Trumpet-trBbTpt.arff,57,80
46,Trumpet,6,trCTpt,SampleLists/MUMS-RWC-Iowa/Trumpet-trCTpt.arff,57,80
46,Trumpet,7,trFltnvib,SampleLists/MUMS-RWC-Iowa/Trumpet-trFltnvib.arff,69,80
46,Trumpet,8,MuteTrumpet_SessionHornsPro,SampleLists/Komplete/MuteTrumpet_SessionHornsPro.arff,52,84
46,Trumpet,9,Trumpet1_SessionHornsPro,SampleLists/Komplete/Trumpet1_SessionHornsPro.arff,52,89
46,Trumpet,10,Trumpet2_SessionHornsPro,SampleLists/Komplete/Trumpet2_SessionHornsPro.arff,52,89
46,Trumpet,11,Trumpet_Essential,SampleLists/Komplete/Trumpet_Essential.arff,60,100
46,Trumpet,12,Trumpets_Essential,SampleLists/Komplete/Trumpets_Essential.arff,60,100
47,Tuba,1,Tuba_Essential,SampleLists/Komplete/Tuba_Essential.arff,32,76
47,Tuba,2,Tubas_Essential,SampleLists/Komplete/Tubas_Essential.arff,33,88
47,Tuba,3,Tuba_SessionHornsPro,SampleLists/Komplete/Tuba_SessionHornsPro.arff,22,65
48,TurkeySaz,1,"",SampleLists/EthnoWorld/TURKEY_SAZ.arff,40,76
49,Ukulele,1,"",SampleLists/EthnoWorld/UKULELE_KEY.arff,57,83
